name,price,type,efficiency,wattage,modular,color
Corsair RM750e (2023),89.99,ATX,gold,750,Full,Black
Corsair RM850x (2021),139.99,ATX,gold,850,Full,Black
Corsair RM850e (2023),119.99,ATX,gold,850,Full,Black
Corsair RM1000e (2023),159.99,ATX,gold,1000,Full,Black
Corsair CX650M (2021),69.98,ATX,bronze,650,Semi,Black
Thermaltake Smart,39.95,ATX,plus,500,false,
Corsair RM850,139.99,ATX,gold,850,Full,White / Black
Corsair SF750,169.99,SFX,platinum,750,Full,
Corsair RM1000x (2021),189.99,ATX,gold,1000,Full,Black
Cooler Master MWE Gold 850 - V2,95.99,ATX,gold,850,Full,Black
Thermaltake Toughpower GX2,64.98,ATX,gold,600,false,Black
Gigabyte UD750GM,94.99,ATX,gold,750,Full,Black
Thermaltake Smart,43.99,ATX,plus,600,false,
Corsair RM650 (2023),89.99,ATX,gold,650,Full,Black
Corsair CX750M (2021),79.98,ATX,bronze,750,Semi,Black
MSI MAG A650BN,59.99,ATX,bronze,650,false,Black
MSI MAG A550BN,49.99,ATX,bronze,550,false,Black
MSI MAG A750GL PCIE5,99.99,ATX,gold,750,Full,Black
Corsair RM750,123.99,ATX,gold,750,Full,White / Black
Corsair RM750x (2021),104.99,ATX,gold,750,Full,Black
Asus ROG THOR 1600T Gaming,591.99,ATX,titanium,1600,Full,Silver / Black
be quiet! Pure Power 12 M,94.9,ATX,gold,750,Full,Black
Corsair CV650,,ATX,bronze,650,false,Black
Apevia Prestige,51.99,ATX,gold,600,false,Black
Apevia Galaxy,54.99,ATX,gold,650,Semi,Black
Corsair HX1200 Platinum,390,ATX,platinum,1200,Full,
Corsair SF850L,129.99,SFX,gold,850,Full,Black
SeaSonic FOCUS PLUS 850 Gold,119.99,ATX,gold,850,Full,
Silverstone HELA,622.92,ATX,,2050,Full,Black / White
Corsair AX1600i,609.99,ATX,titanium,1600,Full,
MSI MAG A850GL PCIE5,119.99,ATX,gold,850,Full,Black
Lian Li SP,139.9,SFX,gold,750,Full,Black
Asus ROG Strix,169.79,ATX,gold,850,Full,White
Corsair HX1500i (2023),249.99,ATX,platinum,1500,Full,Black
Corsair CV550,,ATX,bronze,550,false,Black
EVGA SuperNOVA 1000 GT,189.99,ATX,gold,1000,Full,Black
NZXT C850 (2022),119.99,ATX,gold,850,Full,Black
EVGA SuperNOVA 850 GT,114.99,ATX,gold,850,Full,Black
Asus TUF Gaming B,44.99,ATX,bronze,450,false,Black
Thermaltake Smart,54.99,ATX,plus,700,false,
be quiet! Pure Power 12 M,99.9,ATX,gold,850,Full,Black
MSI A1000G PCIE5,159.99,ATX,gold,1000,Full,Black
EVGA 500 W1,65.48,ATX,plus,500,false,
Corsair SF1000L,159.94,SFX,gold,1000,Full,Black
NZXT C750 (2022),109.99,ATX,gold,750,Full,Black
be quiet! Dark Power 13,219.9,ATX,titanium,1000,Full,Black
Corsair HX1000i (2023),234.99,ATX,platinum,1000,Full,Black
SeaSonic FOCUS GX,139.99,ATX,gold,750,Full,Black
Thermaltake Smart BM3,79.99,ATX,bronze,650,Semi,Black
MSI MPG A650GF,102.99,ATX,gold,650,Full,Black
EVGA 500 BR,65.83,ATX,bronze,500,false,
Corsair CX (2023),59.99,ATX,bronze,550,false,Black
Corsair RMe (2023),169.99,ATX,gold,1200,Full,Black
EVGA SuperNOVA 750 GT,99.99,ATX,gold,750,Full,Black
Thermaltake Toughpower GF A3 - TT Premium Edition,89.99,ATX,gold,750,Full,Black
be quiet! Pure Power 12 M,129.9,ATX,gold,1000,Full,Black
Lian Li SP850,134,SFX,gold,850,Full,White
EVGA 600 GD,83.59,ATX,gold,600,false,Black
Corsair AX1000,,ATX,titanium,1000,Full,Black / Silver
be quiet! Pure Power 12 M,75.32,ATX,gold,550,Full,Black
Cooler Master V850 SFX GOLD,137.99,SFX,gold,850,Full,White
Gigabyte P750GM,,ATX,gold,750,Full,Black
Gigabyte UD850GM,106.99,ATX,gold,850,Full,Black
Corsair AX1200,799,ATX,gold,1200,Full,
be quiet! System Power 10,139.91,ATX,bronze,650,false,Black
MSI MPG A850G PCIE5,109.99,ATX,gold,850,Full,Black
Asus ROG STRIX G,179.99,ATX,gold,1000,Full,Black
EVGA 600 BR,69.27,ATX,bronze,600,false,
MSI MAG A650GL,89.99,ATX,gold,650,Full,Black
Asus ROG THOR P2 Gaming,316.49,ATX,platinum,1200,Full,Silver / Black
NZXT C1000 (2022),151.43,ATX,gold,1000,Full,Black
Thermaltake Toughpower GF A3 Snow,174.98,ATX,gold,1050,Full,White
SeaSonic FOCUS GX,119.99,ATX,gold,850,Full,Black
Cooler Master V850 SFX GOLD,229,SFX,gold,850,Full,Black
be quiet! Dark Power Pro 13,359.9,ATX,titanium,1600,Full,Black
SeaSonic PRIME TX-1000,300.89,ATX,titanium,1000,Full,Black
Thermaltake Toughpower GF A3 Snow,134.98,ATX,gold,850,Full,White
EVGA 400 N1,,ATX,,400,false,
Apevia Prestige,66.98,ATX,gold,800,false,Black
EVGA SuperNOVA 650 GT,92.99,ATX,gold,650,Full,Black
Cooler Master MWE GOLD 750 V2 FULL MODULAR,199,ATX,gold,750,Full,Black
Gigabyte UD1000GM,129.99,ATX,gold,1000,Full,Black
EVGA 700 GD,84.99,ATX,gold,700,false,Black
SeaSonic FOCUS Plus 750 Gold,139.99,ATX,gold,750,Full,
Corsair CX (2023),69.98,ATX,bronze,650,false,Black
Thermaltake Toughpower GF3 Snow,179.99,ATX,gold,1200,Full,White
Corsair RM750 (2019),224.99,ATX,gold,750,Full,Black
MSI MEG Ai1300P PCIE5,299.99,ATX,platinum,1300,Full,Black / Copper
Apevia CAPTAIN,31.99,ATX,,550,false,Black
Thermaltake Smart BM3,69.99,ATX,bronze,750,Semi,Black
SeaSonic FOCUS Plus 650 Gold,,ATX,gold,650,Full,
Cooler Master V750 SFX GOLD,149.98,SFX,gold,750,Full,Black
Gigabyte P-B,,ATX,bronze,650,false,Black
Lian Li SP850,122.5,SFX,gold,850,Full,Black
Asus TUF Gaming 1000G,148.22,ATX,gold,1000,Full,Black
Thermaltake Toughpower GF1 (2024),79.99,ATX,gold,750,Full,Black
Gigabyte P450B,51.16,ATX,bronze,450,false,Black
EVGA 700 BR,74.98,ATX,bronze,700,false,
Thermaltake Toughpower GF1 PE,136.99,ATX,gold,850,Full,Black
Asus TUF Gaming 850G,119.99,ATX,gold,850,Full,Black
Super Flower Leadex III Gold,94.99,ATX,gold,750,Full,Black
be quiet! Straight Power 12,169.9,ATX,platinum,1000,Full,Black
Apevia Galaxy,69.98,ATX,gold,850,Semi,Black
Apevia Premier,59.99,ATX,gold,650,Semi,Black
Thermaltake Toughpower GF A3 - TT Premium Edition,94.99,ATX,gold,850,Full,Black
Asus ROG THOR P2 Gaming,271.1,ATX,platinum,1000,Full,Silver / Black
EVGA 600 W1,64.48,ATX,plus,600,false,
CoolMax I-500,26.68,ATX,,500,false,
be quiet! System Power 10,80.2,ATX,bronze,450,false,Black
NZXT C1200,209.99,ATX,gold,1200,Full,Black
be quiet! Dark Power 13,189.9,ATX,titanium,850,Full,Black
EVGA 500 GD,,ATX,gold,500,false,Black
be quiet! Straight Power 12,179.9,ATX,platinum,1200,Full,Black
GameMax GP,,ATX,bronze,650,false,Black
MSI MPG A750GF,109.99,ATX,gold,750,Full,Black
Corsair RM1200x SHIFT,209,ATX,gold,1200,Full / Side,Black
Corsair CX (2023),77.99,ATX,bronze,750,false,Black
Thermaltake Toughpower GF1 - TT Premium,84.99,ATX,gold,650,Full,Black
be quiet! Pure Power 11,130.61,ATX,gold,400,false,Black
ARESGAME AGV,,ATX,bronze,650,false,Black
Thermaltake Toughpower Grand RGB,112.99,ATX,gold,650,Full,
Corsair RM1000x SHIFT,189.99,ATX,gold,1000,Full / Side,Black
Asus ROG THOR P2 Gaming,181.99,ATX,platinum,850,Full,Black / Silver
EVGA 650 N1,60.99,ATX,,650,false,
EVGA 650 BQ,79.99,ATX,bronze,650,Semi,
Aerocool Integrator,,ATX,bronze,500,false,Black
EVGA 750 N1,77.95,ATX,,750,false,
Corsair RM850x SHIFT,144.99,ATX,gold,850,Full / Side,Black
be quiet! System Power 10,145.9,ATX,bronze,750,false,Black
Corsair CV750,,ATX,bronze,750,false,Black
EVGA SuperNOVA 1600 T2,669,ATX,titanium,1600,Full,
Deepcool PQ750M,,ATX,gold,750,Full,Black
Corsair AX1500i,989,ATX,titanium,1500,Full,
EVGA GE,99.99,ATX,gold,800,false,Black
Corsair RM650x (2021),,ATX,gold,650,Full,Black
EVGA GE,69.98,ATX,gold,500,false,Black
Thermaltake Toughpower GF3 TT Premium,139.99,ATX,gold,1000,Full,Black
MSI MPG A750GF WHITE,246,ATX,gold,750,Full,White
be quiet! Dark Power Pro 13,349.9,ATX,titanium,1300,Full,Black
be quiet! Pure Power 12 M,104.9,ATX,gold,650,Full,Black
Cooler Master V650 SFX GOLD,,SFX,gold,650,Full,Black
Silverstone SFX,112.22,SFX,gold,500,Full,
Deepcool PQ850M,109.99,ATX,gold,850,Full,Black
Corsair RM1000x,245,ATX,gold,1000,Full,
EVGA SuperNOVA 750 GM,149.99,SFX,gold,750,Full,Black
SeaSonic S12III,69,ATX,bronze,650,false,Black
SeaSonic FOCUS Plus Platinum,159.99,ATX,platinum,750,Full,
Gigabyte P650G (US),69.99,ATX,gold,650,false,Black
Gigabyte P550B,86.54,ATX,bronze,550,false,Black
SeaSonic PRIME TX,489.99,ATX,titanium,1600,Full,Black / Silver
Thermaltake Smart BM2,,ATX,bronze,550,Semi,Black
be quiet! Straight Power 12,149.9,ATX,platinum,850,Full,Black
Thermaltake Toughpower GF3 TT Premium,254.99,ATX,gold,1650,Full,Black
